N,P,K,temperature,humidity,ph,rainfall,label
102.01,85.5,48.43,31.55,78.63,6.46,213.32,banana
28.67,40.58,15.85,28.77,50.28,4.2,41.62,mothbeans
70.55,36.92,48.58,33.24,84.85,7.45,208.32,jute
58.0,55.61,94.61,23.42,15.02,6.53,64.02,chickpea
15.05,76.31,27.8,28.88,49.25,7.29,47.94,lentil
10.56,40.7,48.28,26.87,61.63,6.82,103.9,mango
31.23,13.01,37.9,31.82,96.64,6.33,135.21,coconut
62.37,39.8,27.22,26.93,43.88,6.12,59.38,millet
96.72,33.45,29.28,31.99,71.57,6.55,129.22,maize
21.98,70.9,16.93,18.55,36.99,7.09,57.75,lentil
29.92,56.45,21.81,21.83,21.09,5.64,104.28,kidneybeans
86.15,18.3,42.1,24.26,78.69,6.99,49.86,watermelon
73.68,19.82,42.25,26.76,94.67,7.28,56.1,watermelon
91.18,38.06,41.37,23.13,78.22,6.7,229.52,jute
89.95,27.85,38.39,17.33,78.46,5.99,216.77,coffee
111.75,7.09,56.56,31.02,88.22,6.6,30.46,muskmelon
15.61,60.53,21.27,21.84,21.43,5.58,32.09,lentil
72.38,45.38,20.19,25.56,79.03,5.42,214.67,sugarcane
120.86,31.98,32.47,31.49,65.39,6.12,56.03,cotton
10.59,7.8,44.8,22.16,80.52,5.74,34.26,pomegranate
22.5,55.65,23.35,17.22,20.18,6.32,77.61,kidneybeans
83.07,40.72,37.16,25.53,62.32,6.5,31.95,millet
20.79,12.16,27.02,26.83,96.89,6.87,223.66,coconut
58.45,57.43,53.0,26.84,87.85,6.2,149.12,papaya
88.41,57.28,50.49,33.28,92.55,6.89,161.28,jute
63.08,58.23,44.33,28.22,80.02,5.61,244.42,rice
17.38,10.42,36.45,29.4,80.35,5.56,33.63,pomegranate
85.54,8.43,46.44,28.91,92.07,7.32,34.99,muskmelon
67.56,20.05,35.44,31.52,84.23,7.21,173.96,sugarcane
13.87,107.98,208.17,11.51,86.24,6.99,121.26,apple
70.27,51.87,34.9,23.79,94.74,6.46,233.54,rice
33.29,96.01,185.58,23.26,67.7,6.1,92.04,grapes
111.7,59.33,39.67,34.14,43.96,7.72,89.79,cotton
94.15,41.54,23.73,20.33,60.99,7.39,85.03,wheat
65.22,42.66,30.89,22.19,82.63,5.54,179.83,rice
65.05,64.65,50.47,30.96,81.15,6.37,111.74,papaya
40.38,56.81,46.93,30.78,86.93,6.74,116.85,papaya
27.52,70.98,17.4,15.36,24.01,6.04,64.45,kidneybeans
13.2,20.54,47.87,31.34,48.01,6.63,73.09,mango
67.27,56.12,43.42,25.36,56.79,7.4,49.54,millet
29.15,53.19,26.04,22.06,41.22,5.9,49.22,lentil
60.67,46.58,45.22,26.97,53.84,6.48,40.99,millet
123.76,56.57,22.68,27.05,69.93,5.82,141.43,sugarcane
92.65,14.33,54.18,33.09,93.76,7.01,43.61,muskmelon
23.78,12.33,6.87,21.04,94.44,6.57,96.99,orange
78.28,11.92,44.9,28.03,94.79,7.2,69.18,watermelon
19.22,11.75,9.49,33.0,84.88,7.6,109.94,orange
32.94,42.3,49.23,32.22,48.54,6.99,130.88,mango
109.32,47.12,50.7,29.5,74.13,7.44,200.48,sugarcane
23.72,11.05,12.79,28.06,84.89,6.05,113.56,orange
96.21,99.03,63.04,23.79,90.91,6.69,214.63,banana
107.04,30.41,34.17,22.59,66.97,5.55,151.63,coffee
30.08,76.18,199.38,19.18,79.2,5.66,62.53,grapes
33.14,19.44,32.02,32.23,92.49,6.97,165.77,coconut
25.51,36.62,48.56,27.6,56.86,6.64,89.84,mango
85.15,59.69,24.64,16.22,42.97,6.48,78.57,wheat
72.62,11.48,46.09,31.25,83.86,6.96,56.16,watermelon
78.65,38.76,54.33,30.49,86.61,6.46,178.83,jute
72.85,33.97,58.07,25.71,81.82,6.68,271.12,rice
26.55,55.5,90.88,17.91,14.87,6.83,89.94,chickpea
29.24,71.12,20.66,18.32,48.95,6.24,58.06,lentil
14.37,56.94,17.56,21.43,20.86,6.49,98.58,kidneybeans
92.74,55.04,47.48,21.48,73.19,5.96,284.85,rice
78.19,44.53,38.91,28.63,73.11,7.45,241.4,jute
15.11,13.87,47.27,23.05,80.82,6.75,47.01,pomegranate
21.07,36.25,49.71,27.19,41.22,5.64,80.39,mango
20.78,56.67,20.25,15.65,19.83,6.05,109.69,kidneybeans
95.0,46.51,36.09,23.66,90.75,6.97,183.35,jute
86.83,21.51,27.98,26.85,60.35,5.81,224.98,sugarcane
85.26,54.61,51.86,30.53,76.51,6.83,244.87,jute
13.11,53.79,20.68,26.83,21.59,6.95,68.98,lentil
39.54,77.54,90.89,21.51,19.56,7.6,69.69,chickpea
101.26,9.78,52.68,23.96,77.33,6.13,45.92,watermelon
31.02,26.17,50.63,27.36,45.4,5.76,107.59,mango
19.66,12.92,47.37,23.55,92.35,7.26,59.72,pomegranate
20.44,39.51,37.5,34.41,66.09,5.95,115.28,mango
67.8,40.03,25.23,19.92,40.77,5.53,105.3,wheat
111.84,54.32,38.0,27.87,72.7,6.81,278.79,rice
84.51,55.31,40.4,25.04,73.44,6.69,162.63,jute
91.73,57.01,34.01,25.19,40.19,6.82,66.31,cotton
59.83,35.25,23.3,28.23,56.0,7.13,33.35,millet
25.9,18.2,11.19,25.09,94.06,7.57,103.62,orange
102.39,48.54,31.67,30.01,54.5,6.98,50.46,cotton
22.48,71.42,95.41,24.8,15.92,7.05,87.17,chickpea
49.19,59.34,43.72,25.28,92.14,6.46,146.08,papaya
65.73,43.94,44.2,36.92,47.59,6.8,46.35,millet
96.25,10.48,52.27,29.16,84.56,7.12,65.56,watermelon
87.59,17.51,47.5,26.44,89.88,7.11,51.41,watermelon
16.86,18.0,33.1,26.83,52.97,6.26,64.58,mango
61.36,66.54,51.76,33.25,84.93,6.39,174.39,papaya
57.42,42.4,36.79,28.02,43.68,6.2,65.07,millet
26.69,42.78,29.64,24.45,50.67,5.78,86.71,mango
69.15,32.97,31.64,33.23,53.54,7.21,37.31,millet
88.78,73.22,53.52,30.74,92.9,6.7,196.85,banana
115.97,27.9,31.95,17.2,51.08,5.36,120.03,coffee
110.83,11.99,52.91,25.46,94.47,6.46,37.62,muskmelon
73.51,58.12,26.29,31.15,40.85,6.23,39.57,millet
29.04,61.21,25.23,24.07,27.88,7.25,57.3,lentil
102.58,37.68,40.49,19.59,76.03,5.73,168.21,coffee
35.57,131.78,200.85,10.45,82.18,5.51,156.44,apple
39.61,104.42,191.8,15.59,89.4,6.03,103.34,apple
92.17,21.24,43.56,17.03,53.2,6.38,187.58,coffee
87.42,58.9,32.3,19.82,44.63,6.44,117.84,wheat
62.33,58.45,35.34,30.02,61.78,7.03,64.76,millet
21.06,10.91,38.74,31.45,93.39,6.21,195.9,coconut
47.75,59.35,40.63,26.5,89.87,6.19,111.19,papaya
74.38,7.44,49.95,25.06,87.51,7.36,47.96,watermelon
24.33,19.49,32.2,33.44,91.96,5.59,223.88,coconut
13.13,14.73,45.5,27.84,81.14,5.87,39.64,pomegranate
22.39,40.6,30.47,27.48,59.11,6.74,77.21,mango
39.58,75.64,87.65,19.09,14.23,7.88,75.39,chickpea
15.01,18.09,26.91,34.54,56.45,5.55,89.7,mango
38.77,19.49,49.17,26.12,54.99,7.49,134.94,mango
110.71,68.98,44.55,19.2,59.28,5.55,115.04,wheat
62.82,53.44,33.11,23.19,66.21,5.89,177.02,sugarcane
11.87,55.45,17.78,28.35,25.67,6.48,59.18,lentil
27.31,6.49,29.27,26.19,92.46,6.16,218.53,coconut
68.92,51.54,30.35,18.28,56.3,6.41,72.52,wheat
14.68,9.51,43.09,27.52,93.35,6.19,57.55,pomegranate
25.3,42.56,23.6,34.4,42.66,5.28,44.77,mothbeans
90.93,43.12,38.39,20.28,79.72,6.98,86.93,maize
35.14,52.29,80.68,18.3,14.6,7.19,87.93,chickpea
27.17,56.1,18.0,21.75,18.96,5.76,82.77,kidneybeans
100.71,49.47,40.01,10.68,51.86,6.7,50.54,wheat
82.34,34.6,40.1,16.53,64.47,5.2,180.35,coffee
16.56,13.74,13.23,25.42,81.47,7.42,114.85,orange
94.16,69.79,42.85,29.97,78.47,6.17,119.51,banana
42.71,54.89,53.69,35.99,85.61,6.48,127.58,papaya
92.5,87.67,76.29,32.35,87.96,5.69,117.12,banana
28.14,81.28,202.04,26.34,62.85,6.19,53.82,grapes
11.02,74.78,17.13,19.63,20.01,5.62,74.09,kidneybeans
15.9,16.08,30.32,29.49,93.68,6.17,213.48,coconut
29.21,66.3,18.57,17.66,22.37,6.39,79.48,kidneybeans
99.54,6.83,49.91,35.38,87.56,7.02,47.92,muskmelon
116.0,56.43,56.38,23.7,73.94,6.75,255.53,rice
14.57,128.1,218.92,17.07,92.9,6.38,114.09,apple
26.32,74.72,18.29,29.58,25.3,7.44,51.5,lentil
90.9,5.91,44.55,27.86,86.63,6.7,56.11,watermelon
65.83,65.49,24.07,16.8,60.11,6.99,116.22,wheat
77.64,38.67,47.09,32.72,69.93,5.26,176.73,sugarcane
43.4,65.29,89.22,17.32,17.52,7.98,69.3,chickpea
89.74,33.23,37.8,33.0,53.15,7.25,44.22,millet
58.75,65.15,73.15,24.26,15.05,7.59,72.26,chickpea
116.83,13.02,55.94,34.34,87.54,7.23,30.32,muskmelon
83.9,85.35,71.92,26.06,71.32,6.02,216.78,banana
25.23,60.8,18.98,30.34,63.19,5.76,59.64,mothbeans
39.37,75.78,83.01,20.71,14.6,6.6,96.36,chickpea
26.42,10.94,13.7,28.54,87.41,7.1,109.8,orange
103.26,68.74,38.01,15.27,57.34,5.93,95.97,wheat
39.09,35.93,30.31,31.17,58.93,6.77,106.4,mango
21.98,55.06,17.61,16.72,20.42,5.84,81.69,kidneybeans
76.89,18.61,47.67,28.53,94.48,6.62,59.09,watermelon
116.87,8.5,48.01,32.09,88.91,6.23,28.75,muskmelon
11.19,60.48,27.73,28.4,44.57,6.09,35.77,lentil
27.46,21.99,49.33,25.1,51.99,7.34,123.43,mango
76.26,48.02,35.07,28.41,90.81,6.19,194.93,jute
137.86,22.35,30.32,23.87,55.61,5.26,171.38,coffee
22.89,14.23,30.43,31.59,97.04,6.72,190.8,coconut
46.19,62.51,58.96,32.97,84.95,6.6,101.59,papaya
87.25,97.36,46.17,28.45,94.84,6.66,135.69,banana
16.56,7.89,6.03,28.93,81.01,7.58,95.81,orange
121.9,71.94,76.82,22.64,80.42,5.77,200.81,banana
96.72,35.98,47.9,23.83,72.38,7.2,222.33,jute
129.14,53.87,25.23,28.49,59.0,6.48,96.11,cotton
93.06,88.03,59.4,32.39,91.55,6.01,112.66,banana
98.46,9.71,57.07,31.05,83.92,7.33,45.52,watermelon
23.63,9.55,37.75,34.71,90.19,5.58,207.36,coconut
16.27,31.14,31.11,30.28,47.76,6.47,122.99,mango
68.33,61.61,20.79,25.76,61.07,7.11,109.65,maize
21.36,59.63,84.66,21.88,19.73,7.48,75.01,chickpea
63.85,42.23,46.28,24.16,75.17,6.13,285.73,rice
26.52,18.91,36.63,30.25,91.16,5.99,225.52,coconut
27.61,12.69,36.66,32.07,92.83,6.89,173.34,coconut
62.09,32.69,43.36,23.13,61.49,6.63,114.46,maize
12.6,8.09,9.32,30.65,87.12,7.21,118.17,orange
103.54,87.02,44.24,22.7,80.66,5.77,189.42,banana
92.55,29.05,30.74,22.8,78.81,6.67,112.86,sugarcane
89.67,30.06,25.33,26.74,64.59,6.55,64.28,millet
70.54,39.39,47.17,36.79,54.15,6.52,45.32,millet
49.41,50.37,91.78,20.76,18.07,7.98,65.9,chickpea
14.43,106.02,210.56,14.5,86.53,5.98,158.12,apple
22.04,15.79,30.09,32.15,97.08,5.92,206.26,coconut
24.11,66.48,25.83,22.9,38.34,6.15,32.29,lentil
97.47,64.57,38.82,12.26,42.05,6.38,71.2,wheat
24.92,55.15,76.19,16.61,17.37,7.78,61.4,chickpea
14.89,131.18,198.55,21.29,89.81,5.68,134.36,apple
72.2,55.33,26.57,37.43,51.61,6.23,34.93,millet
18.21,5.67,38.95,34.12,90.23,6.41,210.8,coconut
28.09,60.08,17.65,18.72,18.28,6.45,86.95,kidneybeans
130.48,22.15,50.42,25.51,65.68,5.04,134.53,coffee
84.13,80.22,74.06,25.61,73.31,5.92,228.68,banana
74.8,52.96,49.64,31.87,81.68,7.05,177.29,sugarcane
30.76,10.02,31.12,31.52,94.24,6.96,192.19,coconut
73.23,36.58,43.08,20.29,78.4,6.52,210.65,rice
12.52,124.06,216.02,23.51,86.11,6.05,146.02,apple
86.68,16.43,48.08,31.69,82.07,7.21,69.25,watermelon
64.35,43.75,59.95,29.96,71.83,5.82,189.78,rice
88.54,90.72,64.18,23.66,72.57,6.73,219.51,banana
32.27,32.81,40.76,34.51,63.61,6.54,95.16,mango
34.26,56.94,82.06,18.16,16.34,7.19,62.64,chickpea
28.31,54.24,22.92,33.57,63.83,5.73,34.33,mothbeans
112.95,72.5,63.1,26.06,92.3,5.98,128.88,banana
16.19,65.85,20.49,15.48,24.88,6.37,111.18,kidneybeans
18.19,8.49,8.95,28.11,94.37,7.78,112.08,orange
111.32,64.7,45.26,24.64,85.56,5.88,168.8,banana
82.57,20.17,52.23,19.7,64.09,5.68,124.64,coffee
15.3,16.99,39.26,25.86,92.25,6.31,163.75,coconut
80.43,12.97,45.83,22.22,90.44,6.1,63.58,watermelon
33.46,99.02,193.25,25.58,71.85,5.93,97.2,grapes
114.27,91.98,75.52,26.6,94.24,5.92,104.68,banana
71.15,47.85,50.26,22.35,73.0,6.84,186.93,rice
21.4,8.42,10.23,31.73,82.88,7.36,119.76,orange
108.98,44.28,25.95,31.06,49.57,6.6,106.71,cotton
70.55,66.79,49.92,23.56,64.86,7.37,146.59,maize
104.47,46.55,42.83,20.1,71.88,6.82,285.59,rice
14.8,101.12,213.9,18.89,83.62,6.66,150.86,apple
53.06,56.79,53.08,30.53,84.27,6.39,165.7,papaya
20.97,22.79,34.11,24.0,64.46,7.2,84.39,mango
17.19,89.11,197.77,29.89,80.09,5.93,90.28,grapes
19.32,69.27,28.5,23.58,22.57,6.96,66.7,lentil
110.62,24.92,40.07,23.61,75.44,6.21,181.4,coffee
83.96,36.58,59.93,25.1,72.27,5.57,166.45,rice
27.55,66.92,94.89,17.53,15.81,7.95,86.34,chickpea
15.78,67.43,15.42,17.66,18.28,5.93,61.58,kidneybeans
61.16,46.18,60.0,23.5,86.25,6.67,247.76,rice
25.66,11.06,9.06,28.7,89.83,6.94,105.38,orange
56.15,66.0,72.5,17.54,16.55,7.54,81.44,chickpea
25.15,103.41,201.17,21.32,85.41,6.5,110.61,apple
30.31,15.43,31.45,29.27,91.24,6.16,219.71,coconut
28.1,8.66,29.39,31.06,94.31,5.68,137.68,coconut
19.12,59.51,24.64,25.63,55.7,5.93,49.8,mothbeans
90.6,66.24,30.48,20.91,64.57,7.13,66.54,wheat
21.17,67.36,22.87,15.12,22.37,6.14,116.32,kidneybeans
102.57,46.71,23.46,10.31,49.74,7.1,93.27,wheat
112.62,13.45,57.85,28.67,91.16,7.11,45.09,muskmelon
28.66,74.32,25.67,18.92,20.07,7.37,35.95,lentil
49.04,54.6,55.45,28.22,84.09,6.12,162.72,papaya
25.93,12.14,29.35,31.68,98.63,6.24,196.77,coconut
64.74,54.1,44.67,25.64,59.64,5.66,119.48,maize
99.0,56.7,45.27,32.36,74.7,6.42,166.42,jute
6.18,9.65,48.65,20.07,89.39,6.61,47.82,pomegranate
77.56,30.96,45.56,33.65,57.37,7.22,47.94,millet
86.79,41.49,51.61,24.11,92.54,6.51,225.32,jute
28.99,24.74,30.02,27.31,43.59,7.08,50.89,mango
98.28,27.71,31.21,23.73,78.51,5.55,125.43,coffee
19.35,38.98,54.94,29.56,63.74,6.16,134.35,mango
15.51,13.61,40.76,25.55,81.47,6.88,48.61,pomegranate
28.62,12.34,14.73,32.36,82.17,6.25,111.33,orange
13.05,68.83,22.46,27.66,24.28,7.24,51.89,lentil
93.7,43.19,23.67,15.3,59.96,7.0,110.77,wheat
109.79,57.84,24.16,20.58,53.46,5.51,55.55,wheat
73.17,51.56,33.06,26.59,56.11,7.41,57.61,millet
90.46,62.82,28.49,14.48,57.61,7.5,84.27,wheat
117.49,41.9,51.45,20.76,87.27,6.44,165.29,rice
85.78,11.37,47.62,35.64,94.99,7.32,31.04,muskmelon
88.57,61.12,35.4,11.64,55.12,7.39,53.04,wheat
98.87,43.53,16.34,26.67,40.29,6.27,107.07,cotton
101.75,33.51,55.52,34.94,68.57,7.25,153.89,sugarcane
63.6,50.49,45.37,27.97,51.12,7.05,75.58,millet
103.46,52.35,34.38,30.17,59.99,7.41,61.38,maize
101.92,50.49,34.07,34.41,63.11,6.03,54.73,cotton
106.52,12.68,40.32,26.37,75.64,6.76,63.95,watermelon
103.35,56.9,23.29,31.82,44.2,7.98,100.69,cotton
94.45,51.41,41.69,31.11,77.4,5.85,139.4,maize
17.31,60.85,18.2,30.77,52.35,5.37,61.62,mothbeans
41.32,63.91,45.06,33.13,94.57,6.82,169.05,papaya
63.43,47.53,45.09,28.53,73.94,6.94,162.02,rice
33.79,90.7,211.71,18.03,76.55,6.24,63.08,grapes
65.46,50.42,44.26,24.35,65.4,6.41,65.2,maize
74.12,9.5,52.19,27.71,78.09,6.23,62.99,watermelon
19.29,17.44,7.89,34.58,80.01,7.87,104.47,orange
139.02,50.32,24.99,31.78,68.97,6.86,50.74,cotton
84.88,64.16,57.84,24.85,77.08,5.79,103.56,banana
83.17,37.59,44.18,30.15,72.68,6.42,239.46,jute
36.38,67.55,182.78,27.62,71.89,6.52,58.96,grapes
22.34,28.29,53.01,34.73,68.0,6.05,127.91,mango
58.63,85.9,75.42,20.99,15.08,7.33,92.02,chickpea
106.53,15.87,42.43,29.57,77.41,6.73,58.15,watermelon
5.73,10.86,45.47,24.88,93.53,6.09,34.88,pomegranate
17.65,18.0,38.78,34.04,93.19,6.1,185.69,coconut
122.58,18.87,29.61,19.19,51.53,6.4,181.56,coffee
18.28,62.44,18.56,33.17,52.73,3.96,52.88,mothbeans
95.73,31.19,16.51,32.26,55.2,7.26,85.07,cotton
46.61,82.05,91.09,20.99,15.85,7.99,64.94,chickpea
38.34,43.82,27.91,32.7,55.95,5.88,102.62,mango
77.21,51.51,35.01,26.02,78.76,6.42,235.9,jute
108.59,6.89,44.54,26.57,77.22,6.83,48.87,watermelon
18.98,5.08,6.95,21.23,88.58,6.05,112.12,orange
95.37,14.27,56.86,29.51,78.04,7.41,58.29,watermelon
53.6,57.48,22.77,34.04,41.25,6.12,76.6,millet
28.43,10.37,5.9,29.2,84.55,7.44,97.03,orange
103.66,66.76,42.06,34.87,90.22,6.44,143.02,banana
21.63,70.93,16.27,15.38,23.16,6.03,111.43,kidneybeans
8.23,8.98,40.66,18.52,86.49,6.43,35.25,pomegranate
51.24,31.99,22.55,36.59,43.64,6.96,48.48,millet
26.16,68.1,20.67,18.25,44.8,7.03,55.78,lentil
7.79,12.76,36.07,21.55,94.27,6.34,40.73,pomegranate
63.21,54.08,46.53,24.22,68.94,6.09,193.27,sugarcane
32.31,62.39,185.46,27.77,71.46,5.76,67.18,grapes
36.13,66.51,182.34,19.8,81.96,5.7,58.17,grapes
103.46,34.94,41.37,27.48,54.32,6.02,211.42,coffee
31.41,17.63,33.2,33.22,96.13,6.79,191.72,coconut
24.68,65.46,208.79,24.48,84.39,5.8,56.36,grapes
15.81,10.5,44.43,27.05,85.93,6.15,55.08,pomegranate
101.61,12.38,51.5,28.34,89.69,6.85,69.23,watermelon
106.99,64.68,35.64,16.87,68.92,5.62,83.53,wheat
17.33,70.13,22.61,20.84,21.02,6.19,110.02,kidneybeans
84.79,14.77,54.21,30.83,92.3,7.1,27.46,muskmelon
20.13,19.75,54.95,29.32,50.57,6.13,149.15,mango
70.54,45.21,41.11,17.5,65.0,7.11,55.05,wheat
102.21,42.44,23.52,30.83,58.85,6.73,79.72,maize
82.71,13.03,47.84,30.59,84.9,6.7,64.78,watermelon
43.95,58.39,56.92,25.73,89.56,6.06,107.8,papaya
95.95,49.04,42.71,30.22,83.18,6.15,177.8,jute
112.43,47.55,31.4,27.03,64.07,6.43,244.74,sugarcane
92.36,56.14,30.43,20.5,66.12,6.56,125.51,maize
18.4,67.97,19.98,21.84,20.84,5.69,75.18,kidneybeans
21.75,12.54,11.85,24.13,80.11,6.29,91.92,orange
104.99,7.63,58.74,31.21,81.45,6.44,66.83,watermelon
15.81,54.75,20.99,18.88,31.65,6.42,33.74,lentil
125.45,39.03,38.77,20.99,67.6,5.04,131.63,coffee
76.48,32.25,35.22,14.66,53.56,5.61,108.22,wheat
19.78,6.83,8.49,33.06,86.26,7.15,106.97,orange
78.07,31.91,32.59,29.11,63.71,5.72,141.46,maize
89.8,66.17,28.59,21.98,58.21,6.2,94.56,wheat
129.65,37.42,48.25,23.44,65.66,5.56,124.34,coffee
16.87,7.76,37.15,29.87,80.89,5.99,48.99,pomegranate
28.66,69.29,27.39,18.43,33.89,6.74,49.53,lentil
72.71,43.0,38.94,32.63,82.47,7.49,192.12,jute
104.93,9.61,48.72,31.84,76.66,7.3,55.14,watermelon
91.03,16.7,40.15,20.41,66.11,5.14,142.12,coffee
36.14,107.49,195.55,21.21,89.06,6.81,107.44,apple
62.43,50.21,48.84,31.84,80.08,6.31,107.53,papaya
22.94,73.93,15.21,15.91,23.25,5.76,99.45,kidneybeans
82.55,6.84,47.92,32.24,89.39,7.31,22.08,muskmelon
105.7,15.12,32.39,17.88,72.19,5.65,204.01,coffee
5.52,7.83,43.48,25.96,93.25,5.61,51.52,pomegranate
60.33,52.53,53.1,21.07,80.63,5.76,293.69,rice
106.1,58.93,20.92,25.39,49.45,7.6,99.05,cotton
88.66,54.39,49.52,25.04,44.72,7.4,76.39,millet
16.3,66.82,19.49,17.1,22.56,5.54,73.77,kidneybeans
15.04,11.97,43.25,18.56,88.85,5.92,47.48,pomegranate
100.19,51.24,39.14,18.73,62.4,6.93,69.05,maize
120.34,39.53,44.5,27.46,65.12,6.04,152.24,coffee
11.93,108.14,202.37,22.36,89.69,5.88,142.09,apple
63.22,34.48,46.89,23.04,94.85,5.68,264.67,rice
36.87,89.57,80.11,16.92,18.01,6.83,95.29,chickpea
22.69,105.77,195.25,24.55,86.59,5.88,141.26,apple
21.51,40.75,23.05,32.84,50.16,5.41,51.78,mothbeans
23.62,77.67,96.16,24.32,18.6,7.4,85.76,chickpea
18.49,127.09,202.55,16.13,82.19,5.94,118.33,apple
79.79,57.75,28.65,24.18,64.41,6.6,81.84,wheat
93.02,31.52,59.98,28.36,94.22,6.89,277.3,rice
89.32,34.93,26.65,27.28,56.08,7.93,64.53,cotton
95.04,50.87,55.7,27.66,79.51,5.51,202.76,rice
28.68,20.63,25.58,24.6,56.05,5.87,60.23,mango
66.08,50.16,48.43,29.35,89.72,6.1,173.05,papaya
23.6,76.28,23.31,27.95,47.57,6.5,58.37,lentil
26.15,72.59,17.33,20.78,41.79,6.24,66.09,lentil
25.74,8.68,12.06,33.31,86.66,7.61,108.21,orange
17.56,66.18,188.84,17.83,82.43,6.42,91.57,grapes
105.34,14.81,51.04,30.63,92.01,6.24,51.07,watermelon
36.06,39.6,25.41,32.33,43.34,6.4,52.27,mango
111.11,11.69,45.38,31.24,85.24,7.42,22.96,muskmelon
24.81,61.92,25.27,28.44,49.15,5.83,60.03,lentil
119.38,14.87,57.4,29.09,93.38,6.07,24.25,muskmelon
64.47,59.53,45.62,33.2,66.53,6.78,233.86,sugarcane
118.86,75.31,53.31,22.78,93.89,5.9,166.09,banana
95.7,67.52,29.29,15.65,63.75,7.13,96.91,wheat
125.86,42.37,36.06,25.01,61.22,6.02,85.4,cotton
65.71,47.07,39.95,15.61,44.58,7.35,54.7,wheat
107.51,65.84,33.49,22.15,59.56,6.14,83.29,wheat
27.19,12.43,37.94,28.85,90.4,5.81,148.44,coconut
15.14,9.08,49.42,19.21,83.8,5.78,57.74,pomegranate
65.1,32.1,24.72,19.27,60.22,6.04,96.34,wheat
15.87,72.68,193.75,20.59,73.5,5.74,65.08,grapes
32.94,15.45,33.1,28.96,62.27,7.48,125.78,mango
25.72,16.36,12.23,26.92,91.88,6.63,95.64,orange
101.08,55.29,53.28,22.29,70.8,5.97,190.16,rice
15.93,14.61,36.46,23.15,89.69,7.44,52.26,pomegranate
79.15,48.66,28.02,21.47,52.9,6.08,94.57,maize
96.04,55.74,39.64,30.83,42.86,7.93,105.0,cotton
21.96,45.12,24.96,34.08,56.95,3.7,36.54,mothbeans
29.56,11.36,5.74,23.75,82.47,6.62,108.78,orange
27.96,62.3,15.11,26.85,60.51,5.99,31.18,mothbeans
17.68,25.99,43.18,24.85,67.91,5.92,99.14,mango
23.03,77.91,20.12,27.42,30.17,6.22,64.24,lentil
87.56,7.1,49.77,31.26,94.49,6.51,48.51,muskmelon
92.46,14.23,54.2,35.55,85.59,6.62,24.31,muskmelon
19.33,10.42,12.59,33.26,83.37,6.56,102.6,orange
111.88,60.45,48.05,25.66,89.75,5.96,176.0,banana
90.98,50.8,27.77,27.44,44.14,6.77,63.0,cotton
16.0,55.45,24.81,17.29,22.98,6.37,115.88,kidneybeans
118.33,85.91,47.06,22.51,79.6,5.79,204.38,banana
64.63,63.78,23.03,21.56,65.05,7.27,52.64,wheat
74.19,52.32,42.78,23.12,89.58,6.9,157.78,jute
20.95,61.65,192.67,16.9,66.51,5.78,78.12,grapes
25.3,97.52,204.42,15.56,64.5,6.25,97.51,grapes
36.31,124.52,212.85,13.96,84.7,6.84,122.09,apple
75.36,53.86,51.9,26.61,80.98,7.11,126.42,sugarcane
21.01,82.34,180.5,25.98,83.75,5.7,64.79,grapes
66.76,36.5,33.77,21.6,55.59,6.97,131.17,maize
17.2,56.52,15.93,30.51,54.32,4.36,55.21,mothbeans
99.04,59.84,44.68,30.37,83.66,6.24,224.17,jute
116.89,34.4,20.57,22.39,54.54,6.88,96.93,maize
21.96,17.59,8.8,25.27,89.48,7.17,105.31,orange
80.43,23.28,53.75,26.01,69.94,6.22,199.16,sugarcane
30.62,133.07,213.99,12.98,86.22,5.77,161.35,apple
18.79,21.94,25.22,28.48,52.35,6.62,89.48,mango
56.64,59.76,24.38,34.24,46.74,6.04,40.93,millet
47.67,81.81,89.76,22.78,19.19,7.48,71.01,chickpea
15.39,79.48,180.25,17.69,62.23,6.48,94.35,grapes
80.98,31.07,21.6,17.53,47.07,7.49,76.24,wheat
31.58,11.51,31.41,32.29,96.62,5.59,140.92,coconut
128.99,41.79,17.85,29.33,57.77,7.09,97.72,cotton
120.9,79.28,62.69,34.16,78.97,6.52,160.09,banana
101.35,58.23,25.8,30.84,59.82,6.17,93.3,cotton
25.41,92.3,210.9,25.39,65.15,6.46,76.15,grapes
106.36,53.73,34.97,30.42,75.23,5.75,116.22,sugarcane
19.14,17.58,36.32,25.27,98.12,6.94,183.98,coconut
69.98,44.57,36.41,24.01,71.47,6.07,297.8,rice
19.41,103.29,194.73,17.75,94.54,6.75,153.42,apple
21.13,9.19,9.32,29.16,94.36,6.64,110.46,orange
87.16,43.06,46.56,31.2,74.99,6.2,205.43,jute
96.87,87.61,47.2,29.12,86.82,6.75,101.79,banana
70.36,38.81,41.17,30.21,60.17,6.35,79.23,millet
58.9,65.93,75.03,19.41,17.03,7.6,90.41,chickpea
79.71,29.5,21.99,29.43,81.0,5.38,154.12,sugarcane
97.76,8.88,50.45,28.59,88.99,7.08,26.18,muskmelon
91.24,43.47,28.87,27.3,40.79,6.71,56.51,cotton
76.42,43.81,45.85,29.28,89.13,6.17,167.58,jute
101.22,12.98,55.97,30.46,76.75,7.38,58.3,watermelon
22.25,67.24,19.35,21.65,23.6,5.95,103.15,kidneybeans
89.14,47.68,28.2,21.32,43.41,6.36,69.83,wheat
